epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
64,1472.46,0.66294,0.54806,0.01936,0.0223,0.95453,0.94592,0.97292,0.86098,0.51489,0.26096,0.0203,0.01241,0.000156917,0.000156917,0.000156917
65,1495.12,0.65852,0.53488,0.01918,0.02184,0.9477,0.94775,0.97201,0.85675,0.5168,0.26269,0.02026,0.01219,0.000152789,0.000152789,0.000152789
66,1517.86,0.66022,0.54258,0.01955,0.02217,0.9543,0.95428,0.9736,0.86025,0.51468,0.25658,0.02022,0.0126,0.00014866,0.00014866,0.00014866
67,1540.51,0.66319,0.54319,0.01935,0.02227,0.95628,0.945,0.97276,0.85935,0.51426,0.26712,0.02046,0.0127,0.000144532,0.000144532,0.000144532
68,1563.42,0.65494,0.53977,0.01952,0.02121,0.96336,0.95703,0.97512,0.86037,0.51835,0.25513,0.02033,0.01271,0.000140404,0.000140404,0.000140404
69,1586.38,0.65836,0.53738,0.01936,0.02148,0.9568,0.94687,0.97187,0.85628,0.516,0.26262,0.0203,0.01288,0.000136276,0.000136276,0.000136276
70,1610.02,0.65659,0.53573,0.01923,0.02114,0.95943,0.93685,0.97133,0.85693,0.51637,0.2662,0.02038,0.01226,0.000132147,0.000132147,0.000132147
71,1633.77,0.66035,0.52594,0.0193,0.02226,0.95797,0.94953,0.97192,0.85811,0.51238,0.26137,0.0202,0.01251,0.000128019,0.000128019,0.000128019
72,1656.76,0.65874,0.53181,0.01888,0.02258,0.95251,0.9553,0.97343,0.85955,0.51298,0.26253,0.02045,0.01239,0.000123891,0.000123891,0.000123891
73,1679.68,0.65422,0.53103,0.01939,0.02062,0.96006,0.95051,0.97496,0.86057,0.51651,0.25506,0.0203,0.01272,0.000119762,0.000119762,0.000119762
74,1702.33,0.65264,0.52776,0.01947,0.02183,0.96106,0.95663,0.97453,0.85953,0.51358,0.25186,0.02026,0.01301,0.000115634,0.000115634,0.000115634
75,1724.75,0.647,0.51863,0.01934,0.02141,0.94821,0.95757,0.97345,0.8586,0.5132,0.25818,0.02032,0.01253,0.000111506,0.000111506,0.000111506
76,1746.91,0.654,0.5237,0.01971,0.02312,0.96361,0.94428,0.97474,0.85861,0.51539,0.25177,0.02042,0.01285,0.000107378,0.000107378,0.000107378
77,1769.13,0.65723,0.54164,0.01947,0.02194,0.9551,0.95419,0.97281,0.8588,0.51469,0.25474,0.02048,0.01284,0.000103249,0.000103249,0.000103249
78,1791.63,0.65443,0.53966,0.0196,0.02129,0.96431,0.94912,0.97326,0.86021,0.51601,0.25316,0.02037,0.01253,9.91209e-05,9.91209e-05,9.91209e-05
79,1814.65,0.64349,0.51748,0.01966,0.02024,0.95803,0.95189,0.97221,0.85804,0.51453,0.25843,0.02047,0.0123,9.49926e-05,9.49926e-05,9.49926e-05
80,1837.48,0.65014,0.52192,0.01976,0.02138,0.95179,0.95455,0.97179,0.85793,0.51341,0.25696,0.0203,0.0126,9.08643e-05,9.08643e-05,9.08643e-05
81,1860.22,0.64614,0.51504,0.01954,0.02123,0.9586,0.94554,0.97209,0.85895,0.51367,0.25553,0.02036,0.01247,8.6736e-05,8.6736e-05,8.6736e-05
82,1882.56,0.64495,0.51532,0.0194,0.02169,0.96582,0.94929,0.97159,0.85759,0.51338,0.25512,0.02041,0.01209,8.26077e-05,8.26077e-05,8.26077e-05
83,1904.43,0.64498,0.50962,0.01924,0.02048,0.95737,0.95008,0.97267,0.85903,0.50972,0.2542,0.02029,0.0121,7.84794e-05,7.84794e-05,7.84794e-05
84,1927.15,0.64318,0.5154,0.01931,0.02097,0.95945,0.94995,0.97307,0.85972,0.51294,0.25558,0.0203,0.01218,7.43511e-05,7.43511e-05,7.43511e-05
